x,y,z,ax,ay,az,aw,s,ss
1101.9,1179.43,0.0,0.0,0.0,0.09710781928683673,0.995273867552723,200.846776212807,0.8864536084873424
1103.2,1179.69,0.0,0.0,0.0,0.09393976635887567,0.9955778825870129,202.17252128634107,1.3257450735340777
1104.07,1179.85,0.0,0.0,0.0,0.09049961119226378,0.995896490793119,203.05711158698864,0.8845903006475729
1104.5,1179.93,0.0,0.0,0.0,0.08943319388743023,0.9959928231825234,203.4944901415613,0.4373785545726716
1105.37,1180.08,0.0,0.0,0.0,0.08710697243777818,0.9961989637380296,204.3773264797349,0.882836338173599
1106.67,1180.31,0.0,0.0,0.0,0.08431820246938765,0.9964388795768315,205.69751586008928,1.3201893803543798
1107.54,1180.45,0.0,0.0,0.0,0.08184440347683261,0.99664511919716,206.5787082340916,0.8811923740023163
1107.98,1180.53,0.0,0.0,0.0,0.08133298740374627,0.9966869845442862,207.0259218295916,0.4472135954999986
1108.85,1180.67,0.0,0.0,0.0,0.07959949370397437,0.9968269261020546,207.90711420359392,0.8811923740023163
1110.15,1180.87,0.0,0.0,0.0,0.0768321396904493,0.9970440423123681,209.22240884739065,1.3152946437967425
